Time,Low,High,Open,Close,Volume
2015-01-08,264.81,360.0,360.0,288.99,10.35
2015-01-13,260.0,260.0,260.0,260.0,1.0
2015-01-14,109.87,221.0,200.0,120.0,11.30463778
2015-01-15,150.0,224.0,191.99,204.22,2.97732076
2015-01-16,189.0,225.5,210.98,199.46,4.69
2015-01-17,184.0,210.0,210.0,184.0,0.112
2015-01-19,210.0,225.51,210.0,225.51,0.41
2015-01-20,208.0,218.0,215.0,218.0,0.04
2015-01-21,219.0,225.51,219.0,225.51,0.13770722
2015-01-22,216.59,257.73,245.5,226.32,4.36
2015-01-23,215.0,235.0,230.0,235.0,0.180001
2015-01-24,215.0,250.58,215.0,240.0,1.74
2015-01-25,245.32,256.26,248.02,254.53,478.75554094
2015-01-26,241.43,322.72,262.78,274.48,5180.31879404
2015-01-27,244.03,278.47,274.73,263.65,1630.21176553
2015-01-28,228.5,265.99,263.96,236.09,5339.78413706
2015-01-29,221.14,242.0,235.89,235.03,6637.4043479
2015-01-30,227.89,244.59,235.0,229.07,5774.29565219
2015-01-31,217.11,234.67,229.0,218.45,5595.57739079
2015-02-01,210.0,233.79,218.67,228.99,7233.47472195
2015-02-02,220.89,240.1,228.39,237.83,7451.63421618
2015-02-03,225.32,243.9,237.01,228.58,8321.94298864
2015-02-04,221.5,230.99,228.77,227.11,9144.88277442
2015-02-05,215.0,228.9,227.11,216.76,7405.30152893
2015-02-06,216.03,226.64,216.84,223.2,5693.96506664
2015-02-07,222.67,230.5,223.2,229.0,4099.99890773
2015-02-08,220.0,231.6,229.16,223.99,4294.59519081
2015-02-09,216.45,225.0,224.01,221.1,6549.98906821
2015-02-10,215.0,222.0,221.13,220.87,5397.87975213
2015-02-11,217.46,223.61,221.07,219.81,8986.84817697
2015-02-12,218.0,224.61,219.96,223.21,7833.47875989
2015-02-13,221.55,242.36,223.2,236.49,15257.970993
2015-02-14,236.08,259.98,236.92,256.66,15320.096153
2015-02-15,228.0,267.86,256.66,235.54,16943.7794117
2015-02-16,229.6,241.0,235.54,234.68,10505.8421824
2015-02-17,233.0,248.0,234.41,244.82,16806.6525722
2015-02-18,231.93,246.0,244.9,237.49,12926.1531376
2015-02-19,235.58,245.0,237.49,240.9,9467.69858158
2015-02-20,239.99,248.32,241.11,245.34,11201.8120257
2015-02-21,244.0,248.43,245.34,245.99,6213.95050304
2015-02-22,234.01,247.48,245.72,236.83,8280.004721
2015-02-23,232.0,240.97,236.83,239.49,10028.2063282
2015-02-24,235.51,241.91,239.49,239.87,8923.57557898
2015-02-25,235.1,241.0,239.87,238.19,7840.90484267
2015-02-26,234.33,238.47,238.21,237.11,8549.85712646
2015-02-27,236.29,259.0,237.21,254.42,20700.5971984
2015-02-28,250.0,256.97,254.42,255.59,7485.38332759
2015-03-01,244.88,262.0,255.73,260.24,10419.5755599
2015-03-02,256.6,279.8,260.29,276.7,18215.9781901
2015-03-03,267.07,289.5,276.79,283.27,18829.8548908
2015-03-04,267.39,287.0,283.09,273.37,14753.6795084
2015-03-05,262.49,281.09,273.38,276.86,11638.1367825
2015-03-06,269.12,280.0,276.54,273.23,10144.8401315
2015-03-07,270.55,279.44,273.22,276.89,6221.99141535
2015-03-08,270.29,278.97,276.86,275.5,5138.8000306
2015-03-09,275.0,294.42,275.47,290.19,13736.2425896
2015-03-10,289.82,299.48,290.2,293.47,16271.0218701
2015-03-11,290.51,297.8,293.46,296.99,9776.45159544
2015-03-12,291.87,298.9,296.98,296.05,9640.8733421
2015-03-13,284.0,296.43,295.87,284.0,12043.6930229
2015-03-14,280.86,289.0,284.37,283.95,7282.59643311
2015-03-15,282.5,289.24,283.77,288.0,4415.88015586
2015-03-16,287.41,294.99,287.99,292.37,8869.05683551
2015-03-17,284.01,293.69,292.36,286.74,7791.7268092
2015-03-18,250.0,287.0,286.63,258.5,18679.0370084
2015-03-19,249.2,266.8,258.62,263.05,16404.7650848
2015-03-20,259.31,267.42,263.06,263.31,7566.59087241
2015-03-21,256.66,263.62,263.31,261.9,6016.58818796
2015-03-22,259.71,271.27,261.57,269.45,5819.24529324
2015-03-23,260.81,273.99,269.25,267.53,13635.2698529
2015-03-24,244.86,268.51,267.54,246.15,17690.1061479
2015-03-25,234.51,249.99,246.29,246.88,11846.5815419
2015-03-26,244.92,254.9,246.99,249.88,10904.2882675
2015-03-27,246.44,250.99,249.76,247.81,8447.89295832
2015-03-28,247.81,254.99,247.93,253.52,5888.04870469
2015-03-29,241.0,254.0,253.6,243.69,8522.39278477
2015-03-30,237.94,250.06,243.6,248.78,11491.6540833
2015-03-31,242.87,249.98,248.78,245.5,8102.26700316
2015-04-01,241.07,248.22,245.5,247.87,9892.61347536
2015-04-02,245.8,255.24,247.5,254.39,8681.54717222
2015-04-03,252.59,257.43,254.79,254.84,7181.22297277
2015-04-04,251.26,256.6,255.0,254.36,4316.35131219
2015-04-05,252.06,262.0,254.37,261.47,5194.85504095
2015-04-06,255.0,263.0,261.49,256.85,7500.09384171
2015-04-07,253.45,258.7,256.84,254.27,7876.06450527
2015-04-08,244.29,255.75,254.23,246.58,7494.49534827
2015-04-09,239.02,248.16,246.81,244.74,7622.99163238
2015-04-10,232.35,244.66,244.46,236.78,11482.9619193
2015-04-11,234.77,239.99,236.78,237.91,5651.46605488
2015-04-12,234.02,239.16,237.91,237.55,4387.1547264
2015-04-13,220.77,238.0,237.57,225.73,11641.7579523
2015-04-14,216.92,226.9,225.42,221.05,12054.5960841
2015-04-15,218.09,224.52,221.05,224.35,8708.3674313
2015-04-16,223.66,230.75,224.35,229.45,8248.38976112
2015-04-17,220.46,230.08,229.45,223.62,7338.9675477
2015-04-18,222.18,224.04,223.55,224.02,4495.8018241
2015-04-19,223.44,226.72,224.04,224.03,4655.05391456
2015-04-20,223.45,227.45,224.03,225.37,7501.12079273
2015-04-21,224.01,235.89,225.35,235.89,9517.59866755
2015-04-22,232.78,238.6,235.89,233.98,7390.9531407
2015-04-23,232.79,236.54,233.96,235.99,6599.67324319
2015-04-24,230.12,236.93,235.95,231.51,6481.07143681
2015-04-25,226.83,233.67,231.51,227.05,4932.99588695
2015-04-26,215.56,227.91,227.05,221.27,9493.08914679
2015-04-27,218.78,231.11,221.27,227.58,12011.7090173
2015-04-28,220.46,229.04,227.41,225.64,6806.31744694
2015-04-29,220.2,227.3,225.39,225.6,6765.63671375
2015-04-30,225.1,240.0,225.78,236.81,11345.9689821
2015-05-01,233.01,238.78,236.78,233.14,9969.21613044
2015-05-02,233.0,237.15,233.15,235.94,6183.71343627
2015-05-03,234.26,242.97,235.94,240.78,5731.79815874
2015-05-04,238.06,243.99,240.88,239.75,8837.53918605
2015-05-05,232.0,240.0,239.75,236.76,9267.39428959
2015-05-06,228.38,237.87,236.76,230.0,7836.31438506
2015-05-07,228.67,239.18,230.0,237.99,8754.8133802
2015-05-08,236.35,247.06,237.97,244.54,8424.71221905
2015-05-09,240.0,247.6,244.44,242.5,5018.6751944
2015-05-10,239.63,244.89,242.59,241.57,5050.48005714
2015-05-11,239.5,245.49,241.59,242.86,6176.48124216
2015-05-12,240.37,243.4,242.74,242.03,6322.57141234
2015-05-13,235.54,244.13,242.04,236.32,10028.9468827
2015-05-14,232.61,240.0,236.93,237.46,10365.9680408
2015-05-15,236.89,239.0,237.39,237.82,9083.08790899
2015-05-16,235.48,237.99,237.91,236.73,2739.83077381
2015-05-17,236.7,238.45,236.72,237.12,4917.8941314
2015-05-18,231.66,237.89,237.1,234.04,7092.73376658
2015-05-19,231.53,234.92,234.04,232.59,6915.07305287
2015-05-20,232.54,235.0,232.58,234.54,7055.18054974
2015-05-21,234.16,236.74,234.55,235.77,6237.88365231
2015-05-22,235.11,242.0,235.77,240.45,7695.08723864
2015-05-23,237.89,240.64,240.41,239.36,3726.98014431
2015-05-24,238.27,242.0,239.38,240.82,3406.30316825
2015-05-25,236.71,241.4,240.68,237.43,3984.51485195
2015-05-26,235.81,238.34,237.39,236.79,6214.2176611
2015-05-27,236.47,238.75,236.8,237.35,6580.28158972
2015-05-28,236.23,238.48,237.35,237.34,6022.72194413
2015-05-29,235.01,237.68,237.25,236.89,6398.98136435
2015-05-30,231.0,236.99,236.89,233.55,6280.90799929
2015-05-31,229.55,233.94,233.61,230.21,5912.28798545
2015-06-01,221.58,230.99,230.18,223.56,10192.0176466
2015-06-02,221.84,226.68,223.55,225.85,9003.06513502
2015-06-03,223.82,227.45,225.83,225.86,6865.5544388
2015-06-04,223.56,226.07,225.85,224.57,5968.04396352
2015-06-05,223.01,226.74,224.57,224.97,6597.66397205
2015-06-06,224.27,225.61,225.03,225.48,3610.50147451
2015-06-07,222.88,226.09,225.48,223.89,3622.8028596
2015-06-08,223.63,230.16,223.88,229.1,6963.87620605
2015-06-09,228.31,232.06,229.1,229.18,6346.6306686
2015-06-10,227.98,230.45,229.31,228.73,5978.99455875
2015-06-11,228.7,230.92,228.79,229.69,5605.95005072
2015-06-12,229.01,231.32,229.68,229.47,6060.53162572
2015-06-13,228.79,233.49,229.21,233.47,4139.5737215
2015-06-14,232.53,235.0,233.49,233.6,2314.73634054
2015-06-15,233.6,238.5,233.61,236.99,6051.86252839
2015-06-16,236.01,253.26,236.92,251.91,10434.1181482
2015-06-17,247.0,259.46,251.88,250.25,9886.2009048
2015-06-18,243.51,253.29,250.18,249.27,8234.70571275
2015-06-19,245.04,251.05,249.33,246.33,6096.25794923
2015-06-20,240.46,246.99,246.33,246.13,4371.21458011
2015-06-21,242.0,246.98,246.08,244.66,3694.45385093
2015-06-22,243.86,248.5,244.66,247.5,5569.17951861
2015-06-23,243.01,248.06,247.48,244.52,5295.4367872
2015-06-24,239.51,244.92,244.54,240.04,5323.51072526
2015-06-25,239.91,243.44,240.14,242.44,5678.55548776
2015-06-26,239.91,243.1,242.46,243.0,6539.24758549
2015-06-27,242.6,252.22,242.99,251.59,5287.8661909
2015-06-28,247.51,251.87,251.46,249.11,4290.97455352
2015-06-29,249.09,257.99,249.11,257.54,10401.4887281
2015-06-30,255.91,269.39,257.53,263.82,12009.5808792
2015-07-01,255.12,265.45,263.83,259.02,8238.7119877
2015-07-02,253.0,262.0,258.96,254.85,6283.47126529
2015-07-03,252.77,257.37,254.86,256.95,4782.98346498
2015-07-04,254.4,261.0,256.94,260.64,4091.5462419
2015-07-05,258.99,275.25,260.64,271.74,8452.80236186
2015-07-06,268.27,277.88,272.17,269.94,10013.3909444
2015-07-07,264.5,272.11,269.78,266.18,6984.3621578
2015-07-08,264.41,273.97,266.18,270.97,7798.11588097
2015-07-09,267.1,272.5,271.5,269.75,6970.28224745
